CODIGO;NOMBRE;CATEGORIA;TECNOLOGIA;ALTITUD;LATITUD;LONGITUD;DEPARTAMENTO;MUNICIPIO;AREA_HIDROGRAFICA;ZONA_HIDROGRAFICA;SUBZONA_HIDROGRAFICA
32110010;TRAPICHE EL [32110010];Pluviométrica;Convencional;125;2.7833333330;-70.66666667;Vichada;Cumaribo;Orinoco;Guaviare;Medio Guaviare
32117010;TRAPICHE EL [32117010];Limnimétrica;Convencional;125;2.8333333330;-70.66666667;Vichada;Cumaribo;Orinoco;Guaviare;Medio Guaviare
32120010;SAN IGNACIO [32120010];Pluviométrica;Convencional;168;3.7340833330;-72.36977778;Meta;San Martín;Orinoco;Meta;Río Melúa
32147010;GUACO [32147010];Limnimétrica;Convencional;104;3.40;-70.11666667;Vichada;Cumaribo;Orinoco;Guaviare;Bajo Guaviare
32150010;MAPIRIPANA [32150010];Pluviométrica;Convencional;140;2.80;-70.53333333;Guaviare;San José Del Guaviare;Orinoco;Guaviare;Medio Guaviare
32150040;PUEBLO NUEVO [32150040];Pluviométrica;Convencional;100;3.42;-69.89;Guainía;Barranco Mina;Orinoco;Guaviare;Bajo Guaviare
32155010;MAPIRIPANA [32155010];Climática Ordinaria;Convencional;140;2.80;-70.5333333330;Guaviare;San José Del Guaviare;Orinoco;Guaviare;Medio Guaviare
32157010;MAPIRIPANA [32157010];Limnimétrica;Convencional;121;2.80;-70.53333333;Guaviare;San José Del Guaviare;Orinoco;Guaviare;Medio Guaviare
32157020;MAPIRRIARE [32157020];Limnimétrica;Convencional;116;2.9166666670;-70.28333333;Guainía;Mapiripana;Orinoco;Guaviare;Medio Guaviare
32157030;LAGUNA EL CEJAL [32157030];Limnimétrica;Convencional;110;3.1833333330;-70.16666667;Guainía;Mapiripana;Orinoco;Guaviare;Bajo Guaviare
32157040;PUEBLO NUEVO [32157040];Limnimétrica;Convencional;100;3.42;-69.89;Guainía;Barranco Mina;Orinoco;Guaviare;Bajo Guaviare
32157050;SAPUARA [32157050];Limnimétrica;Convencional;97;3.6706111110;-69.3605;Guainía;Barranco Mina;Orinoco;Guaviare;Bajo Guaviare
32157060;BARRANCO MURCIELAGO [32157060];Limnimétrica;Convencional;98;3.5717222220;-69.5880555560;Guainía;Barranco Mina;Orinoco;Guaviare;Bajo Guaviare
32190010;ARABIA ARRECIFAL [32190010];Pluviométrica;Convencional;96;3.6371388890;-69.05530556;Guainía;Barranco Mina;Orinoco;Guaviare;Bajo Guaviare
32197010;ARABIA ARRECIFAL [32197010];Limnimétrica;Convencional;96;3.8833333330;-68.40;Guainía;Barranco Mina;Orinoco;Guaviare;Bajo Guaviare
32200010;CEJAL [32200010];Pluviométrica;Convencional;94;3.99;-68.32;Vichada;Cumaribo;Orinoco;Guaviare;Bajo Guaviare
32207010;CEJAL [32207010];Limnimétrica;Convencional;94;3.99;-68.3499972220;Vichada;Cumaribo;Orinoco;Guaviare;Bajo Guaviare
33035010;CARIMAGUA - AUT [33035010];Meteorológica Especial;Automática con Telemetría - Convencional;200;4.5744166670;-71.340750;Meta;Puerto Gaitán;Orinoco;Vichada;Río Muco
33050020;LA RAYA [33050020];Pluviométrica;Convencional;90;4.5161111110;-69.60583333;Vichada;Cumaribo;Orinoco;Orinoco Directos;Río Tuparro
33055010;CUMARIBO [33055010];Climática Ordinaria;Convencional;167;4.4947222220;-69.80333333;Vichada;Cumaribo;Orinoco;Orinoco Directos;Río Tuparro
33060010;SANTA RITA [33060010];Pluviométrica;Convencional;87;4.87;-68.36;Vichada;Cumaribo;Orinoco;Vichada;Bajo Vichada
33065010;JAMURY [33065010];Climática Ordinaria;Convencional;154;4.3666666670;-69.16666667;Vichada;Cumaribo;Orinoco;Vichada;Bajo Vichada
33077010;SANTA RITA [33077010];Limnimétrica;Convencional;80;4.87;-68.36;Vichada;Cumaribo;Orinoco;Vichada;Bajo Vichada
34015010;LAS GAVIOTAS [34015010];Climática Principal;Convencional;171;4.5539444440;-70.93011111;Vichada;Cumaribo;Orinoco;Tomo;Alto Río Tomo
34015020;GAVIOTAS LAS [34015020];Radio Sonda;Convencional;171;4.5539444440;-70.93011111;Vichada;Cumaribo;Orinoco;Tomo;Alto Río Tomo
34035010;TUPARRO BOCAS - TOMO [34035010];Climática Ordinaria;Convencional;167;5.3531388890;-67.858250;Vichada;Cumaribo;Orinoco;Tomo;Bajo Río Tomo
34035020;TAPON EL [34035020];Climática Ordinaria;Convencional;116;5.1120277780;-69.14838889;Vichada;Cumaribo;Orinoco;Orinoco Directos;Río Tuparro
34037700;CENTRO ADTIVO TOMO [34037700];Limnimétrica;Convencional;76;5.3535;-67.85430556;Vichada;Cumaribo;Orinoco;Tomo;Bajo Río Tomo
35010010;PUERTO LOPEZ [35010010];Pluviométrica;Convencional;182;4.1050277780;-72.9365;Meta;Puerto López;Orinoco;Meta;Directos Rio Metica entre ríos Guayuriba y Yucao
35010020;ACACIAS [35010020];Pluviométrica;Convencional;525;3.9946388890;-73.76558333;Meta;Acacías;Orinoco;Meta;Rio Metica (Guamal - Humadea)
35010040;CAÑO HONDO [35010040];Pluviométrica;Convencional;639;3.925070;-73.813620;Meta;Guamal;Orinoco;Meta;Rio Metica (Guamal - Humadea)
35010050;BORREGO V RICA HACIENDA [35010050];Pluviométrica;Convencional;300;3.9666666670;-73.40;Meta;San Carlos De Guaroa;Orinoco;Meta;Río Guayuriba
35010060;EL TORO [35010060];Pluviométrica;Convencional;230;3.7866666670;-73.40055556;Meta;Castilla La Nueva;Orinoco;Meta;Rio Metica (Guamal - Humadea)
35010070;GUAMAL [35010070];Pluviométrica;Convencional;525;3.8783333330;-73.75861111;Meta;Guamal;Orinoco;Meta;Rio Metica (Guamal - Humadea)
35010080;NARE [35010080];Pluviométrica;Convencional;200;3.7938888890;-73.14972222;Meta;Puerto López;Orinoco;Meta;Rio Metica (Guamal - Humadea)
35010090;SAN MARTIN [35010090];Pluviométrica;Convencional;447;3.708490;-73.708080;Meta;San Martín;Orinoco;Meta;Rio Metica (Guamal - Humadea)
35010150;YAGUARITO [35010150];Pluviométrica;Convencional;275;3.8833333330;-73.34;Meta;San Carlos De Guaroa;Orinoco;Meta;Rio Metica (Guamal - Humadea)
35010220;SAN MARTIN [35010220];Pluviométrica;Convencional;540;3.7166666670;-73.70;Meta;San Martín;Orinoco;Meta;Rio Metica (Guamal - Humadea)
35010230;BAJO NARE [35010230];Pluviométrica;Convencional;183;3.9846388890;-72.97122222;Meta;Puerto López;Orinoco;Meta;Directos Rio Metica entre ríos Guayuriba y Yucao
35015010;NUTRIA LA [35015010];Climática Ordinaria;Convencional;230;3.80;-73.43333333;Meta;Castilla La Nueva;Orinoco;Meta;Rio Metica (Guamal - Humadea)
35015020;IRACA GRANJA [35015020];Climática Principal;Convencional;400;3.6833333330;-73.70;Meta;San Martín;Orinoco;Meta;Rio Metica (Guamal - Humadea)
35015030;SAN CARLOS GUAROA [35015030];Climática Ordinaria;Convencional;230;3.7166666670;-73.25;Meta;San Carlos De Guaroa;Orinoco;Meta;Rio Metica (Guamal - Humadea)
35015040;GUALAS [35015040];Climática Ordinaria;Convencional;250;3.75;-73.43333333;Meta;San Martín;Orinoco;Meta;Rio Metica (Guamal - Humadea)
